x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
4,4;-0,951833001;-0,306616925;0,322133111;-1,050604465;-3,261398565;1,842049901;1,481601259;2,137499118;0,643455414;23,41589767;23,41589767
4,5;-0,977867639;-0,209224473;0,213959911;-1,022633289;-4,779555602;1,517473544;1,504073152;2,169919212;0,653214897;24,40762907;24,40762907
4,6;-0,994180173;-0,107730139;0,10836078;-1,005853895;-9,282453434;1,240069402;1,526050875;2,201626369;0,662759762;25,40022764;25,40022764
4,7;-1,0006265;-0,035403281;0,035381114;-0,999373892;-28,24596989;1,070763798;1,547559836;2,232657245;0,672101046;26,39334451;26,39334451
4,8;-0,996096203;0,088274308;-0,088620263;-1,003919096;11,32832448;0,838405378;1,568612506;2,263029833;0,681244164;27,38613852;27,38613852
4,9;-0,982351626;0,187043534;-0,190403852;-1,017965435;5,346348945;0,690431206;1,589230894;2,292775883;0,690198673;28,37830321;28,37830321
5;-0,958776369;0,284161704;-0,296379545;-1,042996086;3,519123037;0,575829618;1,609432515;2,321920666;0,698972183;29,36941566;29,36941566
5,1;-0,925599709;0,378503869;-0,408928249;-1,080380633;2,641980922;0,492630993;1,629233843;2,350487947;0,707571846;30,35908684;30,35908684
5,2;-0,883144491;0,469101065;-0,531171365;-1,132317543;2,131736795;0,439856098;1,648655111;2,378506919;0,71600645;31,34720151;31,34720151
5,3;-0,831823086;0,555040857;-0,667258299;-1,202178704;1,801669169;0,418787393;1,667702463;2,405986444;0,724278663;32,33300063;32,33300063
5,4;-0,772132202;0,635461928;-0,822996277;-1,295115004;1,573658398;0,43514218;1,686393595;2,432952051;0,732396171;33,31637863;33,31637863
5,5;-0,704646512;0,70955852;-1,006970882;-1,41915128;1,409327028;0,503521886;1,704741551;2,45942256;0,740364639;34,29705846;34,29705846
5,6;-0,631361535;0,775488628;-1,228279814;-1,583878563;1,28950956;0,653494286;1,722758669;2,485415772;0,748189425;35,27478565;35,27478565
5,7;-0,550822866;0,834622172;-1,515227894;-1,815465662;1,198146938;0,962053953;1,740461785;2,510955974;0,75587784;36,24961248;36,24961248
5,8;-0,464799611;0,885415903;-1,904941142;-2,151464793;1,129412739;1,602879792;1,7578526;2,536045619;0,763430624;37,22080984;37,22080984
5,9;-0,374158739;0,927364674;-2,478532712;-2,672662418;1,078324448;3,046064217;1,774945951;2,560706115;0,77085422;38,1884187;38,1884187
6;-0,279816064;0,960053629;-3,431016849;-3,573776241;1,041608479;6,831545891;1,791751812;2,584951853;0,77815296;39,15225978;39,15225978
6,1;-0,182728008;0,983163504;-5,380475146;-5,472614804;1,017124818;20,15517298;1,808279664;2,608796506;0,785330961;40,11216907;40,11216907
6,2;-0,083883239;0,99647559;-11,87931702;-11,92133268;1,003536875;119,3525025;1,824544017;2,63226101;0,792394525;41,06832172;41,06832172
6,3;0,016814693;0,999858623;59,46338918;59,47179712;1,000141397;3656,821148;1,84054336;2,655343188;0,799342997;42,01998865;42,01998865
6,4;0,116814693;0,993153728;8,501958992;8,560566962;1,006893466;91,27357902;1,856290571;2,678061613;0,806181968;42,96732017;42,96732017
6,5;0,215116;0,976588504;4,539822722;4,648654682;1,023972733;31,6433609;1,871793445;2,700427537;0,812914824;43,91020347;43,91020347
6,6;0,311514829;0,950241291;3,050388623;3,210120053;1,052364288;17,30860651;1,887059423;2,722451691;0,819544797;44,84853611;44,84853611
6,7;0,404745512;0,914429369;2,259269943;2,4706883;1,093578174;11,45902163;1,902101368;2,744152634;0,826077473;45,78258493;45,78258493
6,8;0,493808047;0,869570936;1,760949302;2,02507838;1,149992437;8,378994663;1,916915401;2,765524768;0,832511167;46,71160461;46,71160461
6,9;0,577702436;0,816247448;1,412920212;1,730994952;1,225118685;6,488443845;1,931513004;2,786584662;0,838850867;47,63582864;47,63582864
7;0,657005755;0,75388556;1,147456554;1,522056682;1,326461274;5,179913086;1,94590039;2,807341275;0,84509927;48,55518978;48,55518978
7,1;0,729016729;0,68449588;0,938930277;1,371710635;1,460929174;4,22798523;1,960083502;2,827803183;0,851258957;49,46962798;49,46962798
7,2;0,793774641;0,608211985;0,766227533;1,25980341;1,644163588;3,489481517;1,974073999;2,847987207;0,857334992;50,37947937;50,37947937
7,3;0,850656427;0,525722021;0,61801922;1,17556274;1,902145924;2,894369841;1,987866224;2,867885185;0,863324918;51,28397448;51,28397448
7,4;0,8991307;0,43768023;0,486781544;1,112185358;2,284773063;2,402083342;2,001470643;2,887512216;0,86923328;52,18341087;52,18341087
7,5;0,938767759;0,344550569;0,367024289;1,065226187;2,902331586;1,987470501;2,014892283;2,906875553;0,875062262;53,07775286;53,07775286
